,times,observations[mm]
0,2017-01-01,-109.698
1,2017-02-01,-102.044
2,2017-03-01,-127.198
3,2017-04-01,-151.899
4,2017-05-01,-149.629
5,2017-06-01,-132.828
6,2017-07-01,-122.058
7,2017-08-01,-142.505
8,2017-09-01,-122.97
9,2017-10-01,-123.722
10,2017-11-01,-111.894
11,2017-12-01,-118.856
12,2018-01-01,-109.28
13,2018-02-01,-114.459
14,2018-03-01,-115.165
15,2018-04-01,-139.411
16,2018-05-01,-156.938
17,2018-06-01,-166.784
18,2018-07-01,-142.645
19,2018-08-01,-133.115
20,2018-09-01,-139.957
21,2018-10-01,-112.534
22,2018-11-01,-107.121
23,2018-12-01,-122.64
24,2019-01-01,-117.268
