,times,observations[m]
0,2017-01-01,-0.013980633493923006
1,2017-01-02,0.010392229436626857
2,2017-01-03,-0.01709087092486749
3,2017-01-04,-0.007924054321565701
4,2017-01-05,-0.014729496084847239
5,2017-01-06,0.008820518768038469
6,2017-01-07,-0.028232073324520983
7,2017-01-08,-0.012472072682226894
8,2017-01-09,-0.008943369236193939
9,2017-01-10,-0.002403986989777219
10,2017-01-11,-0.030359693320265706
11,2017-01-12,-0.010588346449685255
12,2017-01-13,0.0074069663396387885
13,2017-01-14,-0.0027848010763760504
14,2017-01-15,0.029432302555465036
15,2017-01-16,-0.060283012927538605
16,2017-01-17,-0.02842428328087463
17,2017-01-18,-0.02348476263257201
18,2017-01-19,-0.019851770358615135
19,2017-01-20,0.021821381651536395
20,2017-01-21,0.018144686872425007
21,2017-01-22,-0.03594233808614037
22,2017-01-23,-0.011512587645563975
23,2017-01-24,-0.009229525262063991
24,2017-01-25,-0.040287716995375984
25,2017-01-26,-0.00911412660497251
26,2017-01-27,-0.0025505932826508466
27,2017-01-28,-0.005260189277362003
28,2017-01-29,-0.038502943482658925
29,2017-01-30,0.007961297297784603
30,2017-01-31,-0.0050528778865576085
31,2017-02-01,-0.00971585451796592
32,2017-02-02,-0.02031988182450449
33,2017-02-03,0.0014441529188012423
34,2017-02-04,0.004315625300345044
35,2017-02-05,-0.01691242655606824
36,2017-02-06,-0.008559273759570689
37,2017-02-07,0.002280388846362157
38,2017-02-08,-0.03966322198896894
39,2017-02-09,-0.008803805182009324
40,2017-02-10,-0.03939764658672848
41,2017-02-11,-0.024848741693069585
42,2017-02-12,-0.004177599964829027
43,2017-02-13,-0.01360760397304346
44,2017-02-14,-0.017661874133777185
45,2017-02-15,-0.04631672121167857
46,2017-02-16,0.0006295299708419921
47,2017-02-17,-0.001707252203119073
48,2017-02-18,-0.024334329804524234
49,2017-02-19,-0.008346251848624473
50,2017-02-20,-0.05001702110883982
51,2017-02-21,0.022895936466546567
52,2017-02-22,-0.02447282250606749
53,2017-02-23,-0.01828791794806174
54,2017-02-24,-0.01904122469245815
55,2017-02-25,-0.05060539576767478
56,2017-02-26,-0.01211494576941593
57,2017-02-27,-0.010346777087190655
58,2017-02-28,-0.03893159199237228
59,2017-03-01,-0.023459753114099494
60,2017-03-02,-0.06487929854929686
61,2017-03-03,0.0032614483965151646
62,2017-03-04,0.02148968243865328
63,2017-03-05,0.0050524004491025384
64,2017-03-06,-0.010707996972180396
65,2017-03-07,-0.03076868696023529
66,2017-03-08,-0.013808736223770041
67,2017-03-09,0.008335868062137108
68,2017-03-10,-0.006700060271268245
69,2017-03-11,-0.020370661774549735
70,2017-03-12,-0.06406732494232245
71,2017-03-13,-0.02692563075487449
72,2017-03-14,-0.012820410841250199
73,2017-03-15,-0.036116630192136887
74,2017-03-16,-0.021256756708369393
75,2017-03-17,-0.028031284066872095
76,2017-03-18,-0.01789040447226827
77,2017-03-19,0.01125130978846399
78,2017-03-20,0.002979024028185586
79,2017-03-21,-0.023241444530613296
80,2017-03-22,-0.06951476747048582
81,2017-03-23,-0.02004339892985907
82,2017-03-24,-0.026731826372419568
83,2017-03-25,-0.014050526640135945
84,2017-03-26,0.004302918197866629
85,2017-03-27,-0.03695571462505445
86,2017-03-28,-0.02613560253856793
87,2017-03-29,-0.015514542234454098
88,2017-03-30,-0.0036698832584468426
89,2017-03-31,-0.013228037616542173
90,2017-04-01,-0.044868147965186116
91,2017-04-02,-0.0011078181853280342
92,2017-04-03,-0.014066367168620544
93,2017-04-04,-0.025216789794562912
94,2017-04-05,-0.020864169999325135
95,2017-04-06,-0.0323908363908855
96,2017-04-07,-0.013645708994858055
97,2017-04-08,-0.007768693955721873
98,2017-04-09,-0.06666027405350872
99,2017-04-10,-0.003753818190557128
100,2017-04-11,-0.05293319849324114
101,2017-04-12,-0.015231007975540656
102,2017-04-13,-0.01226728427188674
103,2017-04-14,-0.05668761878655101
104,2017-04-15,-0.04025779978106283
105,2017-04-16,-0.027372787773513582
106,2017-04-17,-0.03430416322456584
107,2017-04-18,-0.018377364452772476
108,2017-04-19,-0.03026988477848406
109,2017-04-20,-0.048268211025135635
110,2017-04-21,-0.043473219920457246
111,2017-04-22,-0.006210907004661238
